id,question,option_a,option_b,option_c,option_d,reponse_correcte,manche
1,Quelle est la capitale de la France ?,Paris,Lyon,Marseille,Bordeaux,Paris,1
2,Combien de continents compte la Terre ?,5,6,7,4,7,1
3,Quel animal est le plus rapide du monde ?,Guépard,Lion,Autruche,Faucon pèlerin,Guépard,1
4,En quelle année a eu lieu la Révolution française ?,1789,1799,1815,1848,1789,2
5,Quel est le plus grand océan du monde ?,Atlantique,Indien,Pacifique,Arctique,Pacifique,2
6,Combien de minutes dure un match de football ?,45,90,120,60,90,2
7,Qui a peint la Joconde ?,Michel-Ange,Raphaël,Léonard de Vinci,Caravage,Léonard de Vinci,3
8,Quel est le symbole chimique de l'or ?,Or,Au,Ag,Go,Au,3
9,Quelle planète est surnommée la planète rouge ?,Vénus,Mars,Jupiter,Saturne,Mars,4
10,Combien de côtés a un hexagone ?,5,6,7,8,6,4
